id|invoice|customer|items|amount|payment|date
S490236|INV-797062|Ayush|1|10.500000|UPI|2026-09-11 22:19:09
S315217|INV-241314|Ayush|1|10.500000|UPI|2026-09-11 22:19:17
S206910|INV-120112|vaidehi|2|22.200000|Cash|2026-09-12 11:05:55
S800522|INV-699842|vaidehi|2|22.200000|Cash|2026-09-12 11:05:59
S889499|INV-355180|vaidehi|2|22.200000|Cash|2026-09-12 11:06:02
S580796|INV-328154|vaidehi|2|22.200000|Cash|2026-09-12 11:06:03
S896125|INV-771041|vaidehi|2|22.200000|Cash|2026-09-12 11:06:04
S609596|INV-277771|vaidehi|2|22.200000|Cash|2026-09-12 11:06:07
S711546|INV-977310|vaidehi|2|22.200000|Cash|2026-09-12 11:06:07
S741179|INV-462979|Ayush|1|15.000000|UPI|2026-09-14 12:08:28
S562386|INV-538396|Ayush|1|15.750000|UPI|2026-09-14 12:08:34
